alpha,beta,gamma,n_a,run_id,seed,status,final_alive,final_necrotic,final_total,total_metastatic,total_oxygen_consumed,fitness,mei,ncf,dissipation
0.3,0.4,-0.2,350.0,77,77,ok,0,4,4,3,35.194,0.0,0.75,1.0,6.58489822
0.3,0.4,-0.2,350.0,78,78,ok,0,0,0,0,1.9795,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,79,79,ok,0,0,0,0,0.6114,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,80,80,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,81,81,ok,6,4,10,0,49.069,0.12227685,0.0,0.4,1.43457253
0.3,0.4,-0.2,350.0,82,82,ok,0,0,0,2,4.8268,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,83,83,ok,30,7,37,11,97.343,0.27764733,0.2972973,0.18918919,4.91619578
0.3,0.4,-0.2,350.0,84,84,ok,11,5,16,6,66.327,0.15645748,0.375,0.3125,4.66586453
0.3,0.4,-0.2,350.0,85,85,ok,11,6,17,6,50.3323,0.2061769,0.35294118,0.35294118,4.73301945
0.3,0.4,-0.2,350.0,86,86,ok,0,0,0,1,2.532,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,87,87,ok,0,0,0,0,1.7982,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,88,88,ok,0,0,0,0,0.748,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,89,89,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,90,90,ok,0,0,0,0,0.748,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,91,91,ok,0,0,0,0,1.4117,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,92,92,ok,0,0,0,0,1.2094,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,93,93,ok,0,0,0,0,0.748,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,94,94,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,95,95,ok,0,0,0,1,11.4371,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,96,96,ok,0,0,0,0,0.8886,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,97,97,ok,0,0,0,0,2.9642,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,98,98,ok,0,0,0,0,0.3069,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,350.0,99,99,ok,0,0,0,0,2.3923,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,0,0,ok,0,0,0,0,0.4615,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,1,1,ok,5,3,8,7,26.199,0.17836143,0.875,0.375,6.88735139
0.3,0.4,-0.2,500.0,2,2,ok,17,0,17,6,34.6222,0.46322125,0.35294118,0.0,3.49831871
0.3,0.4,-0.2,500.0,3,3,ok,0,0,0,0,4.5926,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,4,4,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,5,5,ok,0,0,0,0,0.6039,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,6,6,ok,7,3,10,3,60.3404,0.11262958,0.3,0.3,3.33025766
0.3,0.4,-0.2,500.0,7,7,ok,0,0,0,1,16.5322,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,8,8,ok,0,0,0,0,1.1584,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,9,9,ok,0,0,0,0,1.6363,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,10,10,ok,15,8,23,12,80.0663,0.16727209,0.52173913,0.34782609,6.87755745
0.3,0.4,-0.2,500.0,11,11,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,12,12,ok,0,0,0,1,11.7448,0.0,0.0,0.0,0.69314718
