alpha,beta,gamma,n_a,run_id,seed,status,final_alive,final_necrotic,final_total,total_metastatic,total_oxygen_consumed,fitness,mei,ncf,dissipation
0.4,0.7,0.0,200,90,90,ok,45349,10,45359,1707,3001.0211,0.83625843,0.0376331,0.00022046,507.99113016
0.7,0.5,0.1,1000,20,20,ok,0,0,0,0,2.2716,0.0,0.0,0.0,1.0
0.5,0.7,0.1,1000,25,25,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.6,0.8,0.1,500,5,5,capped,56569,14,56583,1545,3315.7611,1.03712084,0.02730502,0.00024742,582.82534044
0.5,0.8,0.1,1000,34,34,ok,16699,55,16754,1027,1921.5112,0.77112296,0.06129879,0.0032828,268.29606606
0.6,0.5,-0.1,200,17,17,ok,31,1,32,6,76.5707,0.38193822,0.1875,0.03125,4.75012632
0.6,0.6,0.1,500,56,56,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.7,0.4,0.1,200,46,46,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.3,0.8,0.1,500,23,23,capped,55889,96,55985,395,3294.4503,3.42718994,0.00705546,0.00171475,568.13669128
0.4,0.6,-0.1,200,93,93,ok,1082,6,1088,138,386.0582,1.17759919,0.12683824,0.00551471,46.12575899
0.6,0.6,0.1,1000,42,42,ok,0,0,0,0,1.2047,0.0,0.0,0.0,1.0
0.4,0.8,0.0,1000,95,95,capped,54959,96,55055,621,3886.7737,1.96116578,0.01127963,0.00174371,564.20031223
0.4,0.7,0.1,200,23,23,capped,52425,89,52514,1955,3449.1989,0.73961955,0.03722817,0.00169479,560.70450125
0.4,0.8,-0.1,500,74,74,capped,57840,54,57894,637,3534.5901,2.22035155,0.01100287,0.00093274,582.80139185
0.5,0.6,0.1,1000,76,76,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.5,0.8,-0.1,1000,21,21,capped,54910,52,54962,1083,4149.8765,1.1184885,0.01970452,0.00094611,567.80731958
0.6,0.4,0.1,200,96,96,ok,0,0,0,0,1.3491,0.0,0.0,0.0,1.0
0.7,0.7,0.0,200,81,81,ok,4639,0,4639,2919,479.5399,0.32043248,0.62923044,0.0,174.39727333
0.6,0.6,0.0,500,61,61,ok,0,0,0,0,3.2397,0.0,0.0,0.0,1.0
