alpha,beta,gamma,n_a,n_ok,n_capped,n_timeout,timeout_frac,timeout_warning,mean_fitness,std_fitness,mean_mei,std_mei,mean_ncf,std_ncf,mean_dissipation,std_dissipation,pareto_front
0.5,0.6,-0.1,500,100,0,0,0.0,False,0.20700974,0.21600299,0.19648053,0.2283717,0.02020664,0.04066036,10.31727763,11.36504309,True
0.5,0.6,-0.1,1000,100,0,0,0.0,False,0.2036627,0.21375893,0.19835294,0.228495,0.02057762,0.04074321,10.19159844,10.94083465,True
0.5,0.6,0.0,200,100,0,0,0.0,False,0.26302479,0.25655299,0.22377061,0.23225772,0.01271335,0.02042782,21.58393773,40.35953752,True
0.5,0.6,0.0,500,100,0,0,0.0,False,0.22929033,0.22367214,0.20015856,0.18743687,0.01827046,0.02294505,10.76200851,10.46328994,True
0.5,0.6,0.0,1000,100,0,0,0.0,False,0.22800833,0.2233351,0.20160252,0.18786304,0.01835333,0.02299264,10.76546399,10.47208773,False
0.5,0.6,0.1,200,100,0,0,0.0,False,0.25459418,0.28378923,0.18165117,0.22015246,0.01459432,0.02482273,14.50695264,26.80357478,True
0.5,0.6,0.1,500,100,0,0,0.0,False,0.18992907,0.20107684,0.19647286,0.21339481,0.02012892,0.02756429,9.31469922,9.90038603,True
0.5,0.6,0.1,1000,100,0,0,0.0,False,0.18977315,0.20102936,0.19671766,0.2134923,0.02013921,0.02757701,9.31733994,9.90755532,False
0.5,0.7,-0.1,200,100,19,0,0.0,False,0.45930145,0.3607659,0.12879779,0.18346976,0.00131968,0.0036449,255.12522747,238.5649567,False
0.5,0.7,-0.1,500,100,4,0,0.0,False,0.32068418,0.23382576,0.13078012,0.10768978,0.00695599,0.01178954,132.55906823,164.83496668,True
0.5,0.7,-0.1,1000,100,0,0,0.0,False,0.214218,0.1601501,0.14625888,0.10734499,0.0163701,0.01556596,58.95881862,65.02949146,False
