x,y,z,phenotype,oxygen,C,b,d,sim_time
-2,1,15,surface,0.999999,1e-06,0.629999,0.0,40
-4,-15,-7,surface,0.848545,0.151455,0.523982,0.045436,40
7,-4,-13,surface,0.854727,0.145273,0.668309,0.043582,40
7,-6,-15,surface,1.0,0.0,0.63,0.0,40
13,-9,0,surface,1.0,0.0,0.77,0.0,40
-8,10,10,surface,0.863876,0.136124,0.674713,0.040837,40
-2,-9,11,surface,0.859645,0.140355,0.531751,0.042107,40
-1,6,13,surface,0.859649,0.140351,0.671755,0.042105,40
1,-5,13,surface,0.859645,0.140355,0.671752,0.042106,40
4,14,-10,surface,0.848423,0.151577,0.663896,0.045473,40
2,2,12,surface,0.860327,0.139673,0.532229,0.041902,40
4,18,-12,surface,1.0,0.0,0.77,0.0,40
4,15,-11,surface,0.854727,0.145273,0.668309,0.043582,40
2,8,-17,surface,1.0,0.0,0.77,0.0,40
-4,-11,-13,surface,1.0,0.0,0.77,0.0,40
16,13,-1,surface,1.0,0.0,0.63,0.0,40
-3,6,-13,surface,0.84515,0.15485,0.661605,0.046455,40
-6,0,-15,surface,1.0,0.0,0.77,0.0,40
-3,9,-17,surface,1.0,0.0,0.63,0.0,40
6,-8,-9,surface,0.848545,0.151455,0.663982,0.045436,40
-6,-11,-9,surface,0.84648,0.15352,0.522536,0.046056,40
-3,0,13,surface,0.839794,0.160206,0.657856,0.048062,40
-1,2,14,surface,1.0,0.0,0.77,0.0,40
12,13,8,surface,1.0,0.0,0.63,0.0,40
10,-3,5,surface,0.857396,0.142604,0.670177,0.042781,40
14,0,-13,surface,1.0,0.0,0.77,0.0,40
10,6,-17,surface,1.0,0.0,0.77,0.0,40
4,-16,-6,surface,1.0,0.0,0.77,0.0,40
12,15,-8,surface,1.0,0.0,0.77,0.0,40
-11,9,4,surface,1.0,0.0,0.77,0.0,40
5,-13,7,surface,1.0,0.0,0.77,0.0,40
2,-11,8,surface,0.999911,8.9e-05,0.769938,2.7e-05,40
-18,-1,6,surface,1.0,0.0,0.77,0.0,40
14,19,-1,surface,1.0,0.0,0.63,0.0,40
-8,16,5,surface,1.0,0.0,0.77,0.0,40
-5,6,-13,surface,0.848048,0.151952,0.663633,0.045586,40
-6,10,-16,surface,1.0,0.0,0.63,0.0,40
-5,7,-14,surface,0.857818,0.142182,0.670473,0.042655,40
-6,8,-16,surface,1.0,0.0,0.77,0.0,40
4,15,-9,surface,0.843253,0.156747,0.660277,0.047024,40
13,-7,-5,surface,1.0,0.0,0.63,0.0,40
14,19,-2,surface,1.0,0.0,0.77,0.0,40
-5,-5,-12,surface,1.0,0.0,0.77,0.0,40
9,5,10,surface,0.850634,0.149366,0.665444,0.04481,40
9,3,10,surface,0.856439,0.143561,0.669507,0.043068,40
1,-10,9,surface,0.998162,0.001838,0.628713,0.000552,40
-5,-10,12,surface,0.988084,0.011916,0.621659,0.003575,40
15,16,0,surface,1.0,0.0,0.63,0.0,40
-2,4,-16,surface,1.0,0.0,0.63,0.0,40
-5,-17,5,surface,1.0,0.0,0.63,0.0,40
-12,10,2,surface,1.0,0.0,0.63,0.0,40
-6,-18,-8,surface,1.0,0.0,0.77,0.0,40
-8,-4,-11,surface,0.99992,8e-05,0.629944,2.4e-05,40
-9,9,10,surface,1.0,0.0,0.77,0.0,40
-6,19,5,surface,1.0,0.0,0.77,0.0,40
12,19,-5,surface,1.0,0.0,0.77,0.0,40
-5,-10,-11,surface,0.863876,0.136124,0.534713,0.040837,40
1,-4,-16,surface,1.0,0.0,0.63,0.0,40
2,6,-17,surface,1.0,0.0,0.77,0.0,40
-16,-1,-6,surface,0.955072,0.044928,0.59855,0.013478,40
-15,-5,10,surface,1.0,0.0,0.63,0.0,40
2,-2,12,surface,0.8424,0.1576,0.65968,0.04728,40
5,19,8,surface,1.0,0.0,0.77,0.0,40
6,-5,-15,surface,1.0,0.0,0.63,0.0,40
-8,15,-9,surface,1.0,0.0,0.63,0.0,40
-3,5,-14,surface,0.854666,0.145334,0.528266,0.0436,40
-13,10,-1,surface,1.0,0.0,0.77,0.0,40
-14,-3,10,surface,0.860909,0.139091,0.532636,0.041727,40
0,13,-17,surface,1.0,0.0,0.77,0.0,40
11,-5,-13,surface,1.0,0.0,0.63,0.0,40
1,18,-12,surface,1.0,0.0,0.77,0.0,40
-11,0,-13,surface,0.999991,9e-06,0.769994,3e-06,40
-19,-9,4,surface,1.0,0.0,0.63,0.0,40
-18,-4,6,surface,0.991749,0.008251,0.624225,0.002475,40
-18,-2,6,surface,0.999976,2.4e-05,0.629983,7e-06,40
3,17,11,surface,1.0,0.0,0.77,0.0,40
-12,0,12,surface,0.854703,0.145297,0.528292,0.043589,40
7,-8,-8,surface,0.851636,0.148364,0.526145,0.044509,40
-4,-14,-8,surface,0.845454,0.154546,0.661818,0.046364,40
-5,16,10,surface,1.0,0.0,0.63,0.0,40
15,2,7,surface,1.0,0.0,0.63,0.0,40
14,-2,1,surface,0.860521,0.139479,0.672365,0.041844,40
-9,2,15,surface,1.0,0.0,0.63,0.0,40
-13,9,1,surface,1.0,0.0,0.63,0.0,40
-10,12,1,surface,0.857694,0.142306,0.670386,0.042692,40
8,4,11,surface,0.863961,0.136039,0.674772,0.040812,40
8,19,-10,surface,1.0,0.0,0.77,0.0,40
-5,-8,14,surface,0.990097,0.009903,0.763068,0.002971,40
-9,-14,-10,surface,1.0,0.0,0.63,0.0,40
-8,-18,5,surface,1.0,0.0,0.77,0.0,40
4,17,-14,surface,1.0,0.0,0.63,0.0,40
9,-10,0,surface,0.833601,0.166399,0.513521,0.04992,40
15,0,-13,surface,1.0,0.0,0.77,0.0,40
-11,-8,13,surface,1.0,0.0,0.77,0.0,40
5,-7,-12,surface,0.860909,0.139091,0.672636,0.041727,40
5,15,-15,surface,1.0,0.0,0.63,0.0,40
-2,-4,-15,surface,1.0,0.0,0.77,0.0,40
2,18,-13,surface,1.0,0.0,0.77,0.0,40
8,17,-11,surface,1.0,0.0,0.77,0.0,40
-19,-14,-1,surface,1.0,0.0,0.63,0.0,40
13,2,7,surface,0.85738,0.14262,0.530166,0.042786,40
-1,12,-17,surface,1.0,0.0,0.63,0.0,40
-12,-16,-7,surface,1.0,0.0,0.63,0.0,40
5,1,10,surface,0.853905,0.146095,0.527733,0.043829,40
-3,-15,-8,surface,0.848545,0.151455,0.663982,0.045436,40
-15,-15,7,surface,1.0,0.0,0.77,0.0,40
-10,11,2,surface,0.857695,0.142305,0.530387,0.042691,40
14,-3,-2,surface,0.854726,0.145274,0.528308,0.043582,40
-16,2,-13,surface,0.863876,0.136124,0.674713,0.040837,40
-6,11,12,surface,1.0,0.0,0.63,0.0,40
-2,5,-16,surface,1.0,0.0,0.63,0.0,40
-2,-1,13,surface,0.846258,0.153742,0.52238,0.046123,40
-6,6,-14,surface,0.854727,0.145273,0.668309,0.043582,40
5,-7,7,surface,0.846697,0.153303,0.522688,0.045991,40
7,-6,7,surface,0.86309,0.13691,0.534163,0.041073,40
15,-4,-3,surface,1.0,0.0,0.63,0.0,40
-3,7,-14,surface,0.851636,0.148364,0.666145,0.044509,40
4,-12,7,surface,0.857757,0.142243,0.67043,0.042673,40
15,-5,-4,surface,1.0,0.0,0.77,0.0,40
17,-2,-7,surface,1.0,0.0,0.63,0.0,40
2,3,-17,surface,1.0,0.0,0.77,0.0,40
12,18,6,surface,1.0,0.0,0.77,0.0,40
6,4,-15,surface,0.851636,0.148364,0.526145,0.044509,40
-4,6,-14,surface,0.851636,0.148364,0.526145,0.044509,40
11,19,-7,surface,1.0,0.0,0.63,0.0,40
12,-6,2,surface,0.864,0.136,0.6748,0.0408,40
0,-14,-11,surface,1.0,0.0,0.63,0.0,40
-11,16,-2,surface,1.0,0.0,0.77,0.0,40
6,5,-15,surface,0.851575,0.148425,0.666103,0.044527,40
14,18,2,surface,1.0,0.0,0.63,0.0,40
10,-10,2,surface,0.857692,0.142308,0.530384,0.042692,40
10,-10,1,surface,0.854724,0.145276,0.668306,0.043583,40
-9,-14,10,surface,1.0,0.0,0.63,0.0,40
2,12,14,surface,1.0,0.0,0.77,0.0,40
2,-4,13,surface,1.0,0.0,0.77,0.0,40
-14,-16,-6,surface,1.0,0.0,0.63,0.0,40
3,-7,8,surface,0.995203,0.004797,0.626642,0.001439,40
-18,-1,-12,surface,0.863876,0.136124,0.534713,0.040837,40
-15,4,-14,surface,0.863753,0.136247,0.534627,0.040874,40
13,-5,1,surface,0.857817,0.142183,0.530472,0.042655,40
17,7,-6,surface,1.0,0.0,0.63,0.0,40
-10,12,3,surface,0.860909,0.139091,0.532636,0.041727,40
11,-9,-3,surface,0.864,0.136,0.6748,0.0408,40
2,19,9,surface,1.0,0.0,0.63,0.0,40
7,6,-15,surface,0.854727,0.145273,0.528309,0.043582,40
5,-15,5,surface,0.999876,0.000124,0.629913,3.7e-05,40
5,3,-15,surface,0.854727,0.145273,0.668309,0.043582,40
-6,-3,-14,surface,1.0,0.0,0.63,0.0,40
17,2,-1,surface,1.0,0.0,0.77,0.0,40
-14,-19,-3,surface,1.0,0.0,0.63,0.0,40
-7,8,-12,surface,0.843241,0.156759,0.520269,0.047028,40
-3,11,13,surface,0.863876,0.136124,0.674713,0.040837,40
15,3,5,surface,0.860343,0.139657,0.67224,0.041897,40
7,-5,-12,surface,0.857757,0.142243,0.67043,0.042673,40
-19,-5,5,surface,0.863876,0.136124,0.674713,0.040837,40
