alpha,beta,run_id,seed,status,final_alive,final_necrotic,final_total,total_metastatic,total_oxygen_consumed,fitness,mei,ncf,dissipation
0.6,0.7,76,76,ok,455,4,459,156,580.5957,0.30612417,0.33986928,0.0087146,30.9490118
0.6,0.8,91,91,ok,17218,6,17224,1670,1294.4329,0.75150156,0.09695773,0.00034835,281.64676018
0.2,0.8,38,38,capped,53992,141,54133,422,3701.4144,2.79441692,0.00779561,0.0026047,556.43937775
0.6,0.4,134,134,ok,0,0,0,0,2.2069,0.0,0.0,0.0,1.0
0.2,0.3,76,76,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.2,0.4,160,160,ok,0,0,0,0,1.0255,0.0,0.0,0.0,1.0
0.3,0.4,9,9,ok,0,0,0,0,1.6363,0.0,0.0,0.0,1.0
0.7,0.3,80,80,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.2,0.8,58,58,capped,58164,191,58355,352,3565.385,3.60918713,0.00603205,0.00327307,584.37363302
0.3,0.4,10,10,ok,0,8,8,8,59.9599,0.0,1.0,1.0,6.1573557
0.4,0.4,79,79,ok,0,0,0,0,0.6114,0.0,0.0,0.0,1.0
0.6,0.3,152,152,ok,0,0,0,0,2.4091,0.0,0.0,0.0,1.0
0.6,0.8,106,106,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.3,0.5,134,134,ok,145,20,165,37,291.2997,0.36333511,0.22424242,0.12121212,15.8910319
0.5,0.8,45,45,capped,54963,12,54975,837,3561.3897,1.6470673,0.0152251,0.00021828,564.99103224
0.2,0.3,131,131,ok,0,0,0,0,1.889,0.0,0.0,0.0,1.0
0.3,0.3,127,127,ok,0,0,0,2,8.6473,0.0,0.0,0.0,1.0
0.7,0.4,141,141,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.3,0.6,192,192,ok,4233,79,4312,1160,990.1134,0.33930697,0.2690167,0.01832096,131.74843044
0.4,0.8,78,78,capped,59180,47,59227,846,3326.4261,1.88064119,0.01428403,0.00079356,593.55117677
0.6,0.8,92,92,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.5,0.5,60,60,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.6,0.7,67,67,ok,1457,6,1463,212,964.6807,0.48408472,0.14490772,0.00410116,57.01447104
0.3,0.5,86,86,ok,209,29,238,48,374.1266,0.37745566,0.20168067,0.12184874,19.9242636
0.7,0.4,19,19,ok,0,0,0,0,6.8022,0.0,0.0,0.0,1.0
0.6,0.3,137,137,ok,0,0,0,1,5.0972,0.0,0.0,0.0,1.0
0.3,0.3,19,19,ok,0,0,0,0,2.6363,0.0,0.0,0.0,1.0
0.4,0.4,18,18,ok,0,0,0,0,1.3451,0.0,0.0,0.0,1.0
0.5,0.5,16,16,ok,0,0,0,0,1.0699,0.0,0.0,0.0,1.0
0.7,0.5,95,95,ok,17,0,17,4,43.7381,0.37372809,0.23529412,0.0,3.14299663
0.4,0.7,38,38,ok,0,0,0,0,1.4838,0.0,0.0,0.0,1.0
0.4,0.7,145,145,ok,14082,26,14108,1236,1072.9945,0.98233677,0.08760987,0.00184293,244.82588662
0.7,0.4,12,12,ok,0,0,0,0,1.8113,0.0,0.0,0.0,1.0
0.7,0.6,195,195,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.6,0.8,54,54,ok,1530,5,1535,183,689.6599,0.78391692,0.11921824,0.00325733,57.50076655
0.3,0.3,111,111,ok,0,1,1,0,18.8744,0.0,0.0,1.0,2.0
0.7,0.7,54,54,ok,134,0,134,33,110.9028,0.90847022,0.24626866,0.0,12.55902135
0.2,0.4,109,109,ok,76,37,113,19,195.9857,0.32586843,0.16814159,0.32743363,13.94766559
0.4,0.4,159,159,ok,20,3,23,2,56.8349,0.34499662,0.08695652,0.13043478,3.82428722
0.2,0.7,95,95,capped,59265,138,59403,473,3321.1834,3.11423094,0.00796256,0.00232311,591.92315153
0.5,0.7,183,183,ok,788,16,804,141,672.9915,0.48584709,0.17537313,0.0199005,39.88826897
0.3,0.6,43,43,ok,909,64,973,154,781.9575,0.4576643,0.15827338,0.06577595,46.64729655
0.2,0.6,126,126,ok,27731,115,27846,1572,1795.2937,0.92383361,0.05645335,0.00412986,375.05043933
0.3,0.6,42,42,ok,0,0,0,0,1.2047,0.0,0.0,0.0,1.0
0.5,0.7,109,109,ok,2897,9,2906,546,1002.5755,0.44729998,0.18788713,0.00309704,93.3804853
0.3,0.3,148,148,ok,2,3,5,5,36.1885,0.05263438,1.0,0.6,3.60084346
0.7,0.8,84,84,capped,55366,3,55369,2304,3677.077,0.62633397,0.04161173,5.418e-05,582.34646067
0.2,0.7,196,196,capped,48875,140,49015,748,2716.487,2.12169667,0.01526063,0.00285627,524.77907036
0.2,0.6,65,65,ok,640,91,731,79,598.3563,0.59754014,0.10807114,0.124487,38.9111973
0.5,0.8,127,127,capped,55422,140,55562,1237,3633.7753,1.14075588,0.02226342,0.00251971,574.26883146
0.6,0.8,6,6,capped,49427,12,49439,1904,3336.9626,0.73912041,0.03851211,0.00024272,538.48177567
0.4,0.7,36,36,capped,60638,74,60712,1145,3586.5128,1.3580105,0.01885953,0.00121887,606.41131074
0.3,0.8,151,151,capped,56615,61,56676,686,3516.9257,2.04807463,0.01210389,0.00107629,575.30655888
0.6,0.5,54,54,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.6,0.5,172,172,ok,2,0,2,3,18.9954,0.10222182,1.5,0.0,2.5
0.7,0.6,69,69,ok,24,0,24,11,86.3893,0.2502813,0.45833333,0.0,4.66951625
0.5,0.5,35,35,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.6,0.4,136,136,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.3,0.4,40,40,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.3,0.7,69,69,ok,1761,63,1824,141,728.8994,1.00247765,0.07730263,0.03453947,64.0288355
0.7,0.8,159,159,capped,56951,2,56953,3117,3888.4488,0.45527511,0.05472934,3.512e-05,600.86227985
0.4,0.4,54,54,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.5,0.3,29,29,ok,0,0,0,0,0.7585,0.0,0.0,0.0,1.0
0.5,0.3,179,179,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.5,0.4,100,100,ok,0,0,0,0,1.3451,0.0,0.0,0.0,1.0
0.7,0.7,176,176,ok,171,0,171,46,216.9939,0.53975373,0.26900585,0.0,15.0453383
0.3,0.3,122,122,ok,2,3,5,4,38.6747,0.04972436,0.8,0.6,3.24075911
0.7,0.6,61,61,ok,0,0,0,0,2.4432,0.0,0.0,0.0,1.0
0.3,0.7,134,134,capped,54572,230,54802,1369,3534.9683,1.0509028,0.02498084,0.00419693,571.48719173
0.3,0.6,115,115,ok,216,33,249,60,335.7134,0.40212867,0.24096386,0.13253012,21.40668337
0.2,0.4,59,59,ok,22,3,25,6,46.4227,0.44708134,0.24,0.12,4.56955569
0.6,0.7,148,148,ok,3498,9,3507,1004,1016.5152,0.31170005,0.28628457,0.0025663,114.55523295
0.2,0.3,88,88,ok,0,0,0,0,4.7779,0.0,0.0,0.0,1.0
0.4,0.3,70,70,ok,0,0,0,3,6.9307,0.0,0.0,0.0,1.0
0.6,0.3,66,66,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.6,0.4,41,41,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.2,0.7,46,46,capped,56006,160,56166,485,3442.8303,2.78075719,0.00863512,0.0028487,570.89918656
